Gene symbol	RR3__3
A1BG	9.2552
A1BG-AS1	1.0952
A1CF	0
A2M	0
A2M-AS1	0.0912285
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	23.4207
A4GNT	0
AA06	0
AAAS	72.4169
AACS	17.7116
AACSP1	0
AADAC	0
AADACL2	0
AADACL2-AS1	0
AADACL3	0.033536
AADACL4	0
AADACP1	0.0546931
AADAT	2.31864
AAED1	10.8448
AAGAB	59.2342
AAK1	3.04016
AAMDC	52.3428
AAMP	106.904
AANAT	0.356005
AAR2	38.5775
AARD	2.88265
AARS	231.7
AARS2	5.12809
AARSD1	42.7108
AASDH	1.01309
AASDHPPT	3.76342
AASS	2.98547
AATBC	0.027745
AATF	180.293
AATK	0.0249054
AATK-AS1	0
ABALON	58.3722
ABAT	0.158727
ABCA1	4.81323
ABCA10	0.0398965
ABCA11P	1.20838
ABCA12	0.100946
ABCA13	0.014455
ABCA17P	0.0305722
ABCA2	2.0111
ABCA3	9.72292
ABCA4	0.0171787
ABCA5	0.33851
ABCA6	0
ABCA7	7.69088
ABCA8	0
ABCA9	0
ABCA9-AS1	0
ABCB1	0
ABCB10	2.66502
ABCB11	0
ABCB4	0
ABCB5	0.0292136
ABCB6	21.7692
ABCB7	5.10287
ABCB8	27.9684
ABCB9	11.0721
ABCC1	13.832
ABCC10	2.79476
ABCC11	0.100173
ABCC12	0
ABCC13	0
ABCC2	0.104806
ABCC3	9.72887
ABCC4	7.75261
ABCC5	4.52475
ABCC5-AS1	0
ABCC6	1.67506
ABCC6P1	0.120147
ABCC6P2	0.113574
ABCC8	0
ABCC9	2.09548
ABCD1	27.4697
ABCD2	0.0118814
ABCD3	13.8405
ABCD4	9.31038
ABCE1	11.8902
ABCF1	111.04
ABCF2	33.4802
ABCF3	91.1501
ABCG1	0
ABCG2	0.518959
ABCG4	0.0670248
ABCG5	0
ABCG8	0
ABHD1	0.143978
ABHD10	10.5602
ABHD11	14.4262
ABHD11-AS1	2.19213
ABHD12	77.817
ABHD12B	0
ABHD13	2.62177
ABHD14A	23.1407
ABHD14A-ACY1	0
ABHD14B	47.6439
ABHD15	12.6458
ABHD16A	6.93474
ABHD16B	9.15961
ABHD17A	90.6379
ABHD17B	7.41211
ABHD17C	11.9057
ABHD2	12.33
ABHD3	4.04735
ABHD4	15.6611
ABHD5	4.56374
ABHD6	4.38816
ABHD8	77.5856
ABI1	6.28677
ABI2	6.2532
ABI3	11.0386
ABI3BP	0.2284
ABL1	16.6116
ABL2	5.86194
ABLIM1	12.2739
ABLIM2	0.162543
ABLIM3	14.8948
ABO	0
ABR	40.562
ABRA	0.0475022
ABRACL	6.77824
ABT1	12.5439
ABTB1	43.7218
ABTB2	4.73755
ACAA1	66.4265
ACAA2	32.7414
ACACA	6.17556
ACACB	1.09677
ACAD10	15.5967
ACAD11	4.26938
ACAD8	4.49987
ACAD9	22.8838
ACADL	0
ACADM	4.8077
ACADS	55.5857
ACADSB	1.24573
ACADVL	194.605
ACAN	0.00733771
ACAP1	7.63707
ACAP2	2.93231
ACAP3	38.8066
ACAT1	26.044
ACAT2	9.00478
ACBD3	23.1509
ACBD4	5.29583
ACBD5	9.18705
ACBD6	40.1262
ACBD7	2.26405
ACCS	5.94066
ACCSL	0
ACD	54.8724
ACE	1.64978
ACE2	0
ACER1	0
ACER2	0.13731
ACER3	4.97837
ACHE	0.101013
ACIN1	75.2097
ACKR1	0
ACKR2	0.0440018
ACKR3	0.540198
ACKR4	0.0788348
ACLY	66.7745
ACMSD	0.113299
ACO1	46.1709
ACO2	23.6083
ACOT1	1.96672
ACOT11	0.232651
ACOT12	0
ACOT13	1.40508
ACOT2	14.0264
ACOT4	0
ACOT6	0
ACOT7	137.629
ACOT8	97.5847
ACOT9	68.0312
ACOX1	3.10708
ACOX2	0.344154
ACOX3	19.1692
ACOXL	0
ACP1	41.9585
ACP2	102.175
ACP5	5.40115
ACP6	5.35134
ACPP	0.16647
ACPT	0
ACR	0
ACRBP	0
ACRC	0.428654
ACRV1	0
ACSBG1	0
ACSBG2	0.131723
ACSF2	24.1318
ACSF3	13.4695
ACSL1	5.65958
ACSL3	3.76659
ACSL4	22.571
ACSL5	5.08645
ACSL6	0.206034
ACSM1	0
ACSM2A	0
ACSM2B	0
ACSM3	0.262739
ACSM4	0
ACSM5	0.0272802
ACSM6	0.158871
ACSS1	0
ACSS2	30.7026
ACSS3	2.01545
ACTA1	0
ACTA2	41.4955
ACTA2-AS1	0.0327405
ACTB	5004.23
ACTBL2	0
ACTC1	0.226597
ACTG1	2040.74
ACTG1P17	0.330772
ACTG1P20	0.1978
ACTG1P4	0.0338208
ACTG2	0.23711
ACTL10	11.5184
ACTL6A	18.7002
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	1.08759
ACTL9	0
ACTN1	109.661
ACTN1-AS1	0.141539
ACTN2	0.0906615
ACTN3	0.155166
ACTN4	390.397
ACTR10	14.7511
ACTR1A	170.579
ACTR1B	18.802
ACTR2	82.7251
ACTR3	32.5657
ACTR3B	3.23558
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	1.10813
ACTR5	11.0278
ACTR6	8.34168
ACTR8	12.5724
ACTRT1	0
ACTRT2	0
ACTRT3	0.100359
ACVR1	2.64286
ACVR1B	5.6478
ACVR1C	0.044778
ACVR2A	1.814
ACVR2B	1.00417
ACVR2B-AS1	0.209151
ACVRL1	0.155247
ACY1	30.2502
ACY3	0
ACYP1	32.2257
ACYP2	2.03554
ADA	6.52131
ADAD1	0
ADAD2	0.454733
ADAL	6.78833
ADAM10	21.9643
ADAM11	0.159656
ADAM12	32.4539
ADAM15	101.297
ADAM17	15.537
ADAM18	0.0275244
ADAM19	3.67216
ADAM1A	0.344815
ADAM2	0
ADAM20	0.163853
ADAM20P1	0.0642558
ADAM21	1.03346
ADAM21P1	0.326363
ADAM22	3.74998
ADAM23	0.446526
ADAM28	0.0345965
ADAM29	0
ADAM30	0
ADAM32	0.168009
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	3.78457
ADAM9	27.097
ADAMDEC1	0
ADAMTS1	10.1718
ADAMTS10	0
ADAMTS12	2.58112
ADAMTS13	0.192741
ADAMTS14	0.0120643
ADAMTS15	0
ADAMTS16	0.920734
ADAMTS17	0.0199477
ADAMTS18	0.0213982
ADAMTS19	0
ADAMTS19-AS1	0
ADAMTS2	0.154062
ADAMTS20	0.287169
ADAMTS3	0.0652272
ADAMTS4	2.02184
ADAMTS5	1.30798
ADAMTS6	1.6797
ADAMTS7	1.27038
ADAMTS7P1	0
ADAMTS8	0
ADAMTS9	0.0516297
ADAMTS9-AS1	0
ADAMTS9-AS2	0
ADAMTSL1	4.47713
ADAMTSL2	0.0690737
ADAMTSL3	0
ADAMTSL4	0.358565
ADAMTSL4-AS1	0
ADAMTSL5	0
ADAP1	2.10473
ADAP2	0
ADAR	31.1712
ADARB1	0.860306
ADARB2	0.00744465
ADARB2-AS1	0
ADAT1	25.2346
ADAT2	0.958176
ADAT3	22.5139
ADCK1	6.12211
ADCK2	43.2019
ADCK3	14.1974
ADCK4	52.4507
ADCK5	12.4794
ADCY1	0.0401042
ADCY10	0.0127782
ADCY10P1	0.0139638
ADCY2	0.0288818
ADCY3	11.5115
ADCY4	0
ADCY5	0
ADCY6	7.72782
ADCY7	9.84786
ADCY8	1.09368
ADCY9	2.49676
ADCYAP1	0
ADCYAP1R1	0.117833
ADD1	61.2153
ADD2	0.152801
ADD3	5.16521
ADD3-AS1	0.220537
ADGB	0
ADGRA1	0
ADGRA1-AS1	0
ADGRA2	1.1736
ADGRA3	4.19106
ADGRB1	0
ADGRB2	4.32481
ADGRB3	0
ADGRD1	0.318157
ADGRE1	40.0943
ADGRE2	0.536782
ADGRE3	0
ADGRE4P	0.215591
ADGRE5	96.6752
ADGRF1	0.115968
ADGRF2	0.0867735
ADGRF3	0.0581389
ADGRF4	0.738658
ADGRF5	0.0435233
ADGRG1	138.031
ADGRG2	3.75624
ADGRG3	0.103951
ADGRG4	0.0125949
ADGRG5	0.181342
ADGRG6	0.0276608
ADGRG7	0
ADGRL1	14.5238
ADGRL2	0.538788
ADGRL3	0.0928672
ADGRL3-AS1	0
ADGRL4	0
ADGRV1	0.325468
ADH1A	0
ADH1B	0
ADH1C	0
ADH4	0
ADH5	40.6889
ADH6	0.02331
ADH7	0
ADHFE1	0.0355406
ADI1	143.713
ADIG	0
ADIPOQ	0.0417878
ADIPOQ-AS1	0.0187654
ADIPOR1	55.6629
ADIPOR2	15.9727
ADIRF	6.05603
ADK	23.9917
ADM	173.614
ADM2	0.222634
ADM5	3.03173
ADNP	16.3608
ADNP-AS1	0.712388
ADNP2	4.31027
ADO	6.68687
ADORA1	13.4725
ADORA2A	5.43177
ADORA2A-AS1	0.844423
ADORA2B	6.04127
ADORA3	0
ADPGK	23.6601
ADPGK-AS1	1.41443
ADPRH	3.23606
ADPRHL1	0.466879
ADPRHL2	149.436
ADPRM	6.13437
ADRA1A	0.172479
ADRA1B	1.32455
ADRA1D	0.0245866
ADRA2A	0
ADRA2B	0
ADRA2C	0
ADRB1	0.0912007
ADRB2	0
ADRB3	0.0495695
ADRBK1	40.9586
ADRBK2	0.795564
ADRM1	565.824
ADSL	56.1998
ADSS	17.3878
ADSSL1	5.49099
ADTRP	1.23792
AEBP1	0.235256
AEBP2	4.02289
AEN	27.923
AES	555.613
AFAP1	12.4302
AFAP1-AS1	0.0742185
AFAP1L1	0.0784721
AFAP1L2	4.50931
AFF1	2.42881
AFF2	0.0365151
AFF3	0.069579
AFF4	6.04882
AFG3L1P	7.14602
AFG3L2	51.8977
AFM	0
AFMID	6.42333
AFP	0.82026
AFTPH	12.6305
AGA	5.55513
AGAP1	2.84823
AGAP1-IT1	0.861863
AGAP11	0.0210928
AGAP2	2.11972
