Gene symbol	RR1__2
A1BG	4.81441
A1BG-AS1	0.287052
A1CF	0
A2M	0
A2M-AS1	0
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	15.3738
A4GNT	0
AA06	0
AAAS	51.3484
AACS	7.19936
AACSP1	0
AADAC	0.0394438
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0
AADACP1	0.560799
AADAT	4.36028
AAED1	22.1602
AAGAB	38.3386
AAK1	3.0222
AAMDC	24.3796
AAMP	54.9022
AANAT	0.0323528
AAR2	37.9285
AARD	2.06218
AARS	71.554
AARS2	3.4646
AARSD1	21.9337
AASDH	1.09428
AASDHPPT	13.9802
AASS	4.29064
AATBC	0.0251549
AATF	42.5277
AATK	0
AATK-AS1	0
ABALON	24.3424
ABAT	0.539449
ABCA1	12.7113
ABCA10	0
ABCA11P	1.01362
ABCA12	0.0631031
ABCA13	0.013016
ABCA17P	0.0554889
ABCA2	0.904373
ABCA3	2.84091
ABCA4	0.05432
ABCA5	0.305134
ABCA6	0
ABCA7	1.21982
ABCA8	0
ABCA9	0.00906358
ABCA9-AS1	0
ABCB1	0
ABCB10	5.65848
ABCB11	0
ABCB4	0.0305122
ABCB5	0
ABCB6	7.42492
ABCB7	4.53504
ABCB8	8.94221
ABCB9	4.0072
ABCC1	11.1494
ABCC10	1.8215
ABCC11	0.0129717
ABCC12	0
ABCC13	0
ABCC2	0.253014
ABCC3	4.81765
ABCC4	10.2357
ABCC5	1.85884
ABCC5-AS1	0.208905
ABCC6	3.56422
ABCC6P1	0.0658064
ABCC6P2	1.54479
ABCC8	0
ABCC9	2.45665
ABCD1	12.9229
ABCD2	0.0107578
ABCD3	28.3482
ABCD4	5.55325
ABCE1	28.8385
ABCF1	21.2098
ABCF2	27.2052
ABCF3	16.9479
ABCG1	0.020303
ABCG2	0.771395
ABCG4	0.0486634
ABCG5	0
ABCG8	0
ABHD1	0.400774
ABHD10	11.595
ABHD11	8.89284
ABHD11-AS1	0.823313
ABHD12	42.5817
ABHD12B	0.130332
ABHD13	5.52846
ABHD14A	16.5863
ABHD14A-ACY1	0
ABHD14B	38.8338
ABHD15	8.31443
ABHD16A	8.60429
ABHD16B	4.74858
ABHD17A	104.215
ABHD17B	8.84753
ABHD17C	4.33335
ABHD2	10.4223
ABHD3	11.9842
ABHD4	14.6534
ABHD5	8.41446
ABHD6	7.72782
ABHD8	45.6426
ABI1	17.8308
ABI2	9.1526
ABI3	6.35576
ABI3BP	0.440158
ABL1	19.9314
ABL2	4.98318
ABLIM1	14.3274
ABLIM2	0.0980369
ABLIM3	7.69125
ABO	0
ABR	29.4334
ABRA	0.0433546
ABRACL	18.828
ABT1	17.8551
ABTB1	8.30607
ABTB2	5.19829
ACAA1	34.7741
ACAA2	35.6671
ACACA	3.92698
ACACB	0.348219
ACAD10	4.51876
ACAD11	2.64534
ACAD8	3.84807
ACAD9	13.8388
ACADL	0
ACADM	12.8233
ACADS	13.0085
ACADSB	2.29252
ACADVL	87.8644
ACAN	0
ACAP1	1.58354
ACAP2	5.17212
ACAP3	8.61296
ACAT1	19.2499
ACAT2	5.62466
ACBD3	27.7914
ACBD4	3.92712
ACBD5	15.8186
ACBD6	41.3182
ACBD7	1.09984
ACCS	1.45465
ACCSL	0
ACD	23.9156
ACE	0.0951818
ACE2	0
ACER1	0
ACER2	0.125248
ACER3	5.83247
ACHE	0.0530285
ACIN1	39.5441
ACKR1	0
ACKR2	0.0401124
ACKR3	0.612354
ACKR4	0
ACLY	71.2718
ACMSD	0
ACO1	53.6671
ACO2	16.6463
ACOT1	3.59709
ACOT11	0.0556998
ACOT12	0
ACOT13	2.73502
ACOT2	13.9377
ACOT4	0
ACOT6	0.276694
ACOT7	74.4256
ACOT8	54.6367
