Gene symbol	RR3__1
A1BG	8.74365
A1BG-AS1	1.3493
A1CF	0
A2M	0
A2M-AS1	0.0609882
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	22.1748
A4GNT	0
AA06	0
AAAS	69.4532
AACS	18.1855
AACSP1	0
AADAC	0
AADACL2	0
AADACL2-AS1	0
AADACL3	0.0168065
AADACL4	0
AADACP1	0.164641
AADAT	1.74043
AAED1	11.1739
AAGAB	55.5843
AAK1	2.81859
AAMDC	52.6972
AAMP	108.738
AANAT	0.282221
AAR2	40.8044
AARD	2.66299
AARS	230.415
AARS2	5.00654
AARSD1	37.6058
AASDH	0.674787
AASDHPPT	4.87078
AASS	3.17587
AATBC	0.11124
AATF	180.517
AATK	0.0124498
AATK-AS1	0
ABALON	56.236
ABAT	0.145838
ABCA1	5.05009
ABCA10	0
ABCA11P	1.03368
ABCA12	0.0933849
ABCA13	0
ABCA17P	0.0306451
ABCA2	2.20084
ABCA3	9.8687
ABCA4	0.0344332
ABCA5	0.291749
ABCA6	0
ABCA7	8.26385
ABCA8	0
ABCA9	0
ABCA9-AS1	0
ABCB1	0
ABCB10	3.0388
ABCB11	0
ABCB4	0
ABCB5	0.0732083
ABCB6	22.9916
ABCB7	4.9482
ABCB8	28.4862
ABCB9	10.8878
ABCC1	14.3639
ABCC10	2.35759
ABCC11	0.0430281
ABCC12	0
ABCC13	0.0463717
ABCC2	0.116718
ABCC3	11.4725
ABCC4	7.56839
ABCC5	4.19109
ABCC5-AS1	0
ABCC6	2.40462
ABCC6P1	0.0722768
ABCC6P2	0.228279
ABCC8	0
ABCC9	1.73745
ABCD1	28.6644
ABCD2	0.0119086
ABCD3	13.1904
ABCD4	9.16044
ABCE1	11.5207
ABCF1	108.979
ABCF2	34.0464
ABCF3	92.0324
ABCG1	0
ABCG2	0.549084
ABCG4	0.0335936
ABCG5	0
ABCG8	0
ABHD1	0.433336
ABHD10	10.4488
ABHD11	12.487
ABHD11-AS1	4.61681
ABHD12	79.5933
ABHD12B	0.0940162
ABHD13	2.39981
ABHD14A	22.1193
ABHD14A-ACY1	0.923933
ABHD14B	44.0531
ABHD15	12.9865
ABHD16A	7.08297
ABHD16B	7.19645
ABHD17A	91.1872
ABHD17B	7.19964
ABHD17C	9.66279
ABHD2	11.5513
ABHD3	2.43529
ABHD4	16.0975
ABHD5	4.69302
ABHD6	4.53841
ABHD8	76.0749
ABI1	5.735
ABI2	6.3543
ABI3	10.5938
ABI3BP	0.214629
ABL1	17.0203
ABL2	6.13946
ABLIM1	11.9815
ABLIM2	0.111843
ABLIM3	14.7536
ABO	0
ABR	38.8665
ABRA	0.071439
ABRACL	8.44169
ABT1	13.7834
ABTB1	46.6382
ABTB2	4.51438
ACAA1	70.319
ACAA2	32.8711
ACACA	6.3295
ACACB	1.17378
ACAD10	15.2578
ACAD11	3.97301
ACAD8	4.84549
ACAD9	22.9745
ACADL	0
ACADM	4.21563
ACADS	54.5006
ACADSB	1.20586
ACADVL	190.608
ACAN	0
ACAP1	8.81531
ACAP2	2.85081
ACAP3	40.6333
ACAT1	25.1462
ACAT2	8.49918
ACBD3	21.7392
ACBD4	6.96847
ACBD5	8.93215
ACBD6	38.8904
ACBD7	2.07734
ACCS	6.31226
ACCSL	0
ACD	58.8453
ACE	1.21924
ACE2	0
ACER1	0
ACER2	0.114721
ACER3	4.56764
ACHE	0
ACIN1	74.1541
ACKR1	0
ACKR2	0.0220572
ACKR3	0.541721
ACKR4	0.15809
ACLY	67.0503
ACMSD	0
ACO1	45.6831
ACO2	23.4785
ACOT1	2.35882
ACOT11	0.333308
ACOT12	0
ACOT13	1.22065
ACOT2	14.5935
ACOT4	0.0420392
ACOT6	0
ACOT7	140.32
ACOT8	101.737
ACOT9	70.1026
ACOX1	3.30644
ACOX2	0.316338
ACOX3	17.749
ACOXL	0
ACP1	37.6264
ACP2	102.934
ACP5	5.0887
ACP6	6.68087
ACPP	0.104304
ACPT	0
ACR	0
ACRBP	0
ACRC	0.471079
ACRV1	0.0646568
ACSBG1	0
ACSBG2	0.0792435
ACSF2	21.3107
ACSF3	14.3259
ACSL1	5.68282
ACSL3	4.25888
ACSL4	21.3798
ACSL5	3.80408
ACSL6	0.0884929
ACSM1	0
ACSM2A	0
ACSM2B	0
ACSM3	0.307489
ACSM4	0
ACSM5	0.0820617
ACSM6	0.159352
ACSS1	0
ACSS2	28.6779
ACSS3	2.23554
ACTA1	0.0929561
ACTA2	40.9946
ACTA2-AS1	0
ACTB	4975.41
ACTBL2	0
ACTC1	0.366934
ACTG1	2032.24
ACTG1P17	0.207367
ACTG1P20	0.421431
ACTG1P4	0
ACTG2	0.0594822
ACTL10	12.9414
ACTL6A	17.4067
ACTL6B	0
