Gene symbol	Con2__2
A1BG	3.83268
A1BG-AS1	0.353267
A1CF	0.0094148
A2M	0
A2M-AS1	0
A2ML1	0
A2MP1	0.0847775
A3GALT2	0
A4GALT	4.25638
A4GNT	0
AA06	0
AAAS	34.6588
AACS	19.2034
AACSP1	0
AADAC	0.0907674
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0
AADACP1	0.0779826
AADAT	2.60224
AAED1	14.4917
AAGAB	33.1804
AAK1	5.47269
AAMDC	28.5634
AAMP	73.4227
AANAT	0
AAR2	37.9561
AARD	1.31522
AARS	91.5421
AARS2	6.16379
AARSD1	17.5191
AASDH	1.8343
AASDHPPT	7.47193
AASS	3.17312
AATBC	0.00971429
AATF	62.2853
AATK	0
AATK-AS1	0
ABALON	86.6487
ABAT	0.138897
ABCA1	16.5745
ABCA10	0.00697243
ABCA11P	1.44955
ABCA12	0.0271151
ABCA13	0.0302316
ABCA17P	0
ABCA2	4.29558
ABCA3	1.9169
ABCA4	0.0180028
ABCA5	0.337724
ABCA6	0.00838605
ABCA7	2.26101
ABCA8	0.0533274
ABCA9	0
ABCA9-AS1	0
ABCB1	0
ABCB10	4.22738
ABCB11	0
ABCB4	0.023549
ABCB5	0.0208227
ABCB6	6.79951
ABCB7	7.76756
ABCB8	15.109
ABCB9	5.95294
ABCC1	10.2391
ABCC10	1.71557
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	1.54787
ABCC3	15.043
ABCC4	13.8774
ABCC5	2.91637
ABCC5-AS1	0
ABCC6	0.417478
ABCC6P1	0.0507042
ABCC6P2	0.332541
ABCC8	0
ABCC9	1.39491
ABCD1	10.4531
ABCD2	0.0997533
ABCD3	15.0107
ABCD4	4.59207
ABCE1	31.1227
ABCF1	37.0427
ABCF2	46.6474
ABCF3	42.2539
ABCG1	0.0156437
ABCG2	2.17084
ABCG4	0.0469937
ABCG5	0
ABCG8	0
ABHD1	0.136453
ABHD10	12.9474
ABHD11	19.1983
ABHD11-AS1	3.63766
ABHD12	56.091
ABHD12B	0.0665784
ABHD13	4.74093
ABHD14A	13.9596
ABHD14A-ACY1	0.000390288
ABHD14B	14.4668
ABHD15	10.4186
ABHD16A	9.05092
ABHD16B	3.94355
ABHD17A	67.2448
ABHD17B	8.71378
ABHD17C	8.46754
ABHD2	29.6371
ABHD3	5.35528
ABHD4	8.56966
ABHD5	10.4083
ABHD6	10.9264
ABHD8	26.5571
ABI1	14.0827
ABI2	17.9668
ABI3	0.112606
ABI3BP	1.29972
ABL1	23.6518
ABL2	11.7204
ABLIM1	9.97094
ABLIM2	0.0538274
ABLIM3	19.5113
ABO	0
ABR	50.0398
ABRA	0.0334071
ABRACL	27.6261
ABT1	10.331
ABTB1	8.14328
ABTB2	2.06241
ACAA1	38.5477
ACAA2	30.8991
ACACA	7.81941
ACACB	1.26664
ACAD10	4.28115
ACAD11	2.44202
ACAD8	5.30351
ACAD9	28.2523
ACADL	0
ACADM	10.6774
ACADS	16.6029
ACADSB	2.59098
ACADVL	103.888
ACAN	0
ACAP1	0.147816
ACAP2	8.16464
ACAP3	21.7655
ACAT1	24.193
ACAT2	11.791
ACBD3	19.2992
ACBD4	3.15423
ACBD5	12.708
ACBD6	28.7516
ACBD7	1.14468
ACCS	1.96584
ACCSL	0
ACD	23.7503
ACE	0.116482
ACE2	0.0387313
ACER1	0
ACER2	0.514829
ACER3	6.35293
ACHE	0
ACIN1	38.7365
ACKR1	0
ACKR2	0.0773044
ACKR3	0.313966
ACKR4	0.0199089
ACLY	114.185
ACMSD	0
ACO1	65.817
ACO2	30.6395
ACOT1	2.09209
ACOT11	0.18777
ACOT12	0
ACOT13	2.74611
ACOT2	9.79301
ACOT4	0
ACOT6	0
ACOT7	71.3939
ACOT8	47.1377
ACOT9	36.793
ACOX1	6.72767
ACOX2	2.74899
ACOX3	9.53828
ACOXL	0
ACP1	52.6923
ACP2	26.1145
ACP5	14.7156
ACP6	4.44798
ACPP	0.280537
ACPT	0.111105
ACR	0
ACRBP	0.0505153
