Gene symbol	RR1__3
A1BG	5.08279
A1BG-AS1	0.227462
A1CF	0
A2M	0
A2M-AS1	0
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	15.5755
A4GNT	0
AA06	0
AAAS	49.002
AACS	7.78466
AACSP1	0
AADAC	0.0781018
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0
AADACP1	0.60538
AADAT	4.16138
AAED1	23.8552
AAGAB	37.8183
AAK1	3.37418
AAMDC	25.4351
AAMP	57.1307
AANAT	0.0961217
AAR2	38.2688
AARD	2.2151
AARS	70.1071
AARS2	3.3026
AARSD1	19.613
AASDH	1.20873
AASDHPPT	13.7905
AASS	3.54778
AATBC	0.0498676
AATF	40.5977
AATK	0
AATK-AS1	0
ABALON	24.3329
ABAT	0.404018
ABCA1	12.9281
ABCA10	0
ABCA11P	1.55431
ABCA12	0.0764672
ABCA13	0.0354941
ABCA17P	0.027499
ABCA2	0.68969
ABCA3	2.49212
ABCA4	0.0615475
ABCA5	0.367704
ABCA6	0
ABCA7	1.30873
ABCA8	0.00991844
ABCA9	0
ABCA9-AS1	0
ABCB1	0.0242819
ABCB10	5.42819
ABCB11	0
ABCB4	0.0302466
ABCB5	0
ABCB6	8.03862
ABCB7	4.46912
ABCB8	9.96795
ABCB9	3.68376
ABCC1	11.2083
ABCC10	2.04406
ABCC11	0.064317
ABCC12	0
ABCC13	0
ABCC2	0.146308
ABCC3	5.75487
ABCC4	10.3498
ABCC5	1.86204
ABCC5-AS1	0
ABCC6	1.92487
ABCC6P1	0.130402
ABCC6P2	1.74245
ABCC8	0
ABCC9	2.53014
ABCD1	12.0158
ABCD2	0
ABCD3	24.3372
ABCD4	5.96653
ABCE1	29.3265
ABCF1	19.8863
ABCF2	28.262
ABCF3	19.0345
ABCG1	0.0402616
ABCG2	1.10154
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	0.176308
ABHD10	11.406
ABHD11	8.29288
ABHD11-AS1	2.02277
ABHD12	38.8778
ABHD12B	0.218427
ABHD13	5.44806
ABHD14A	16.7076
ABHD14A-ACY1	1.25157
ABHD14B	37.7987
ABHD15	7.97882
ABHD16A	8.12586
ABHD16B	4.11005
ABHD17A	103.373
ABHD17B	8.20097
ABHD17C	4.11499
ABHD2	11.1555
