Gene symbol	Con2__1
A1BG	4.49045
A1BG-AS1	0.436834
A1CF	0.0184512
A2M	0
A2M-AS1	0
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	3.56452
A4GNT	0
AA06	0
AAAS	37.8019
AACS	19.309
AACSP1	0
AADAC	0.0299289
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0
AADACP1	0.154272
AADAT	3.40511
AAED1	14.8256
AAGAB	33.7295
AAK1	5.59332
AAMDC	29.0497
AAMP	73.4844
AANAT	0.0507121
AAR2	38.3396
AARD	1.40724
AARS	93.9469
AARS2	6.32858
AARSD1	18.4845
AASDH	1.49531
AASDHPPT	8.54975
AASS	3.04232
AATBC	0.00961049
AATF	60.5728
AATK	0.0172207
AATK-AS1	0
ABALON	85.3935
ABAT	0.128251
ABCA1	16.7471
ABCA10	0.00689804
ABCA11P	1.921
ABCA12	0.0332675
ABCA13	0.0548347
ABCA17P	0
ABCA2	3.96322
ABCA3	1.6133
ABCA4	0
ABCA5	0.371249
ABCA6	0.033186
ABCA7	2.26885
ABCA8	0.0459286
ABCA9	0
ABCA9-AS1	0
ABCB1	0
ABCB10	4.48254
ABCB11	0.0277182
ABCB4	0.0232971
ABCB5	0.0205989
ABCB6	7.62552
ABCB7	7.87555
ABCB8	15.5535
ABCB9	5.4456
ABCC1	10.5951
ABCC10	2.3541
ABCC11	0.0198252
ABCC12	0
ABCC13	0
ABCC2	1.27343
ABCC3	15.7658
ABCC4	13.1692
ABCC5	2.7029
ABCC5-AS1	0
ABCC6	0.200712
ABCC6P1	0.0501603
ABCC6P2	0.328847
ABCC8	0
ABCC9	1.24985
ABCD1	9.90226
ABCD2	0.0822402
ABCD3	17.2338
ABCD4	4.35031
ABCE1	31.9533
ABCF1	35.0086
ABCF2	48.9254
ABCF3	41.3913
ABCG1	0.01527
ABCG2	2.03776
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	0.101232
ABHD10	11.4002
ABHD11	18.6457
ABHD11-AS1	4.04567
ABHD12	59.0437
ABHD12B	0.0329271
ABHD13	4.31741
ABHD14A	14.7243
ABHD14A-ACY1	0.407082
ABHD14B	15.3729
ABHD15	10.026
ABHD16A	8.92101
ABHD16B	3.07272
ABHD17A	65.0055
ABHD17B	9.46986
ABHD17C	7.92748
ABHD2	29.4166
ABHD3	4.2283
ABHD4	8.14878
ABHD5	9.90331
ABHD6	10.1359
ABHD8	27.0297
ABI1	14.1396
ABI2	17.3913
ABI3	0.0222083
ABI3BP	1.45398
ABL1	23.5999
ABL2	11.3528
ABLIM1	9.38439
ABLIM2	0.0149528
ABLIM3	20.0689
ABO	0
ABR	49.6431
ABRA	0
ABRACL	30.4297
ABT1	10.5265
ABTB1	9.03848
ABTB2	2.4898
ACAA1	37.783
ACAA2	31.7568
ACACA	7.67355
ACACB	1.34666
ACAD10	4.39816
ACAD11	2.54243
ACAD8	5.77324
ACAD9	26.543
ACADL	0
ACADM	11.1975
ACADS	15.0735
ACADSB	2.95372
ACADVL	100.419
ACAN	0
ACAP1	0.237623
ACAP2	8.06543
ACAP3	23.4556
ACAT1	25.3496
ACAT2	13.2937
ACBD3	19.6324
ACBD4	2.82924
ACBD5	12.6204
ACBD6	29.8972
ACBD7	1.18572
ACCS	2.22227
ACCSL	0
ACD	23.434
ACE	0.1241
ACE2	0.0255445
ACER1	0
ACER2	0.477477
ACER3	6.58643
ACHE	0
ACIN1	38.8362
ACKR1	0
ACKR2	0.0152952
ACKR3	0.465883
ACKR4	0.039416
ACLY	117.617
ACMSD	0
ACO1	66.8852
