Gene symbol	RR2__3
A1BG	2.89441
A1BG-AS1	0.564895
A1CF	0.00459555
A2M	0
A2M-AS1	0
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	12.5009
A4GNT	0
AA06	0
AAAS	41.1624
AACS	10.6125
AACSP1	0
AADAC	0.0895965
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0
AADACP1	0.34755
AADAT	3.7322
AAED1	13.5448
AAGAB	32.9444
AAK1	2.41046
AAMDC	16.2954
AAMP	58.7336
AANAT	0.0734718
AAR2	35.5437
AARD	1.85224
AARS	95.8509
AARS2	4.70293
AARSD1	17.8399
AASDH	1.13923
AASDHPPT	9.38229
AASS	4.87559
AATBC	0.0380583
AATF	62.6923
AATK	0.00849307
AATK-AS1	0
ABALON	33.5529
ABAT	0.453414
ABCA1	10.3034
ABCA10	0.00682202
ABCA11P	0.890806
ABCA12	0.0610772
ABCA13	0.0123041
ABCA17P	0.0629671
ABCA2	1.61392
ABCA3	4.45389
ABCA4	0.0117387
ABCA5	0.403468
ABCA6	0
ABCA7	2.03487
ABCA8	0.00756552
ABCA9	0
ABCA9-AS1	0
ABCB1	0
ABCB10	6.52436
ABCB11	0
ABCB4	0.0115443
ABCB5	0.0200466
ABCB6	8.41235
ABCB7	9.15265
ABCB8	10.5767
ABCB9	4.66326
ABCC1	12.962
ABCC10	2.22275
ABCC11	0.00981043
ABCC12	0
ABCC13	0
ABCC2	0.422647
ABCC3	5.53866
ABCC4	10.8148
ABCC5	2.72658
ABCC5-AS1	0
ABCC6	3.51357
ABCC6P1	0.0995939
ABCC6P2	0.66998
ABCC8	0
ABCC9	2.29039
ABCD1	12.0611
ABCD2	0
ABCD3	16.4969
ABCD4	6.68717
ABCE1	27.3328
ABCF1	41.2298
ABCF2	36.1398
ABCF3	28.8484
ABCG1	0
ABCG2	0.741808
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	0.168614
ABHD10	9.41568
ABHD11	7.39458
ABHD11-AS1	0.31325
ABHD12	33.3746
ABHD12B	0.164493
ABHD13	4.70672
ABHD14A	15.1185
ABHD14A-ACY1	0
ABHD14B	20.8514
ABHD15	9.90064
ABHD16A	9.26015
ABHD16B	3.75472
ABHD17A	60.1463
ABHD17B	9.74898
ABHD17C	7.47113
ABHD2	15.34
ABHD3	10.4146
ABHD4	15.7174
ABHD5	7.0307
ABHD6	7.20544
ABHD8	32.3062
ABI1	16.0225
ABI2	8.49854
ABI3	4.10776
ABI3BP	0.548429
ABL1	23.3323
ABL2	3.86516
ABLIM1	10.353
ABLIM2	0.0296708
ABLIM3	9.43918
ABO	0
ABR	34.4099
ABRA	0.0492104
ABRACL	10.7416
ABT1	12.2536
ABTB1	9.27923
ABTB2	7.11727
ACAA1	29.0212
ACAA2	37.7165
ACACA	6.37159
ACACB	0.785469
ACAD10	7.09943
ACAD11	3.07818
ACAD8	4.65158
ACAD9	14.3618
ACADL	0
ACADM	10.42
ACADS	14.6963
ACADSB	2.9217
ACADVL	97.0077
ACAN	0
ACAP1	1.41627
ACAP2	6.98999
ACAP3	9.35084
ACAT1	18.321
ACAT2	7.11914
ACBD3	28.6157
ACBD4	3.83384
ACBD5	15.5853
ACBD6	26.5102
ACBD7	1.6775
ACCS	2.00554
