Gene symbol	RR1__1
A1BG	4.53623
A1BG-AS1	0.22991
A1CF	0.0060886
A2M	0
A2M-AS1	0
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	15.0105
A4GNT	0
AA06	0
AAAS	45.5521
AACS	6.51609
AACSP1	0
AADAC	0.039486
AADACL2	0
AADACL2-AS1	0.109062
AADACL3	0
AADACL4	0
AADACP1	0.204123
AADAT	3.26175
AAED1	23.157
AAGAB	37.7304
AAK1	3.15259
AAMDC	19.9443
AAMP	59.3829
AANAT	0.207493
AAR2	36.9257
AARD	2.13445
AARS	69.7418
AARS2	3.73513
AARSD1	22.6713
AASDH	1.0534
AASDHPPT	13.8102
AASS	3.99373
AATBC	0.0503763
AATF	42.8347
AATK	0
AATK-AS1	0
ABALON	23.3927
ABAT	0.504154
ABCA1	12.4281
ABCA10	0.00903143
ABCA11P	0.99423
ABCA12	0.0746292
ABCA13	0.0228102
ABCA17P	0.0138904
ABCA2	0.724462
ABCA3	3.04305
ABCA4	0.0543943
ABCA5	0.341038
ABCA6	0
ABCA7	1.33862
ABCA8	0
ABCA9	0.00907587
ABCA9-AS1	0
ABCB1	0.0367939
ABCB10	5.36285
ABCB11	0
ABCB4	0.0916678
ABCB5	0.0132668
ABCB6	7.80793
ABCB7	5.1721
ABCB8	9.4256
ABCB9	4.23668
ABCC1	11.6692
ABCC10	1.6748
ABCC11	0.11696
ABCC12	0
ABCC13	0
ABCC2	0.126677
ABCC3	5.48558
ABCC4	10.2481
ABCC5	2.06988
ABCC5-AS1	0
ABCC6	3.2225
ABCC6P1	0.197663
ABCC6P2	1.87658
ABCC8	0
ABCC9	2.65766
ABCD1	13.0035
ABCD2	0
ABCD3	22.2657
ABCD4	5.58799
ABCE1	30.0136
ABCF1	21.203
ABCF2	26.7103
ABCF3	17.6698
ABCG1	0
ABCG2	0.824779
ABCG4	0.0162397
ABCG5	0
ABCG8	0
ABHD1	0.312031
ABHD10	10.5048
ABHD11	8.60027
ABHD11-AS1	1.0289
ABHD12	38.893
ABHD12B	0
ABHD13	5.28621
ABHD14A	16.6007
ABHD14A-ACY1	0
ABHD14B	39.0849
ABHD15	8.62362
ABHD16A	9.13166
ABHD16B	3.52137
ABHD17A	102.981
ABHD17B	8.29309
ABHD17C	5.03169
ABHD2	11.2213
ABHD3	12.1885
ABHD4	15.6317
ABHD5	8.58695
ABHD6	7.43371
ABHD8	44.5218
ABI1	19.5563
ABI2	8.74646
ABI3	6.04358
ABI3BP	0.687034
ABL1	21.3976
ABL2	5.17865
ABLIM1	14.2132
ABLIM2	0.0785277
ABLIM3	8.4193
ABO	0
ABR	29.1401
ABRA	0.0217041
ABRACL	20.6547
ABT1	17.2581
ABTB1	7.50301
ABTB2	4.7577
ACAA1	33.1983
ACAA2	35.4198
ACACA	4.33531
ACACB	0.305878
ACAD10	4.95875
ACAD11	2.89531
ACAD8	2.52222
ACAD9	13.7895
ACADL	0
ACADM	11.3281
ACADS	14.4814
ACADSB	2.34385
ACADVL	84.9209
ACAN	0.0066326
ACAP1	1.7296
ACAP2	5.4175
ACAP3	8.00144
ACAT1	19.2151
ACAT2	6.41147
ACBD3	29.2267
ACBD4	4.12015
ACBD5	15.7479
ACBD6	38.422
ACBD7	1.27605
ACCS	1.65592
ACCSL	0
ACD	25.8424
ACE	0.185934
ACE2	0
ACER1	0
ACER2	0.209006
ACER3	5.24948
ACHE	0.0804135
ACIN1	40.025
ACKR1	0
ACKR2	0.0401627
ACKR3	0.350325
ACKR4	0.0518445
ACLY	72.7348
ACMSD	0
ACO1	54.6629
ACO2	17.2996
ACOT1	2.88866
ACOT11	0.183386
ACOT12	0
ACOT13	3.37713
ACOT2	13.2173
ACOT4	0
ACOT6	0.138456
ACOT7	79.787
ACOT8	53.3117
ACOT9	36.8432
ACOX1	6.14822
ACOX2	1.81429
ACOX3	7.7514
ACOXL	0
ACP1	61.1471
ACP2	30.4793
ACP5	1.83088
ACP6	5.83234
ACPP	0.316639
ACPT	0
ACR	0
ACRBP	0
ACRC	0.20504
ACRV1	0
ACSBG1	0.20015
ACSBG2	0
ACSF2	6.86621
ACSF3	6.54752
ACSL1	7.35367
ACSL3	9.126
ACSL4	38.9216
ACSL5	5.23815
ACSL6	0.0907674
ACSM1	0
ACSM2A	0
ACSM2B	0
ACSM3	0.365632
ACSM4	0
ACSM5	0.149927
ACSM6	0
ACSS1	0.0743251
ACSS2	14.563
ACSS3	2.6997
ACTA1	0
ACTA2	25.3139
ACTA2-AS1	0
ACTB	7026.07
ACTBL2	0
ACTC1	0.0475846
ACTG1	2420.77
ACTG1P17	0.152924
ACTG1P20	0.339157
ACTG1P4	0
ACTG2	0.343895
ACTL10	2.73119
ACTL6A	50.4344
ACTL6B	0
ACTL7A	0.0418136
ACTL7B	0
ACTL8	1.20263
ACTL9	0
ACTN1	84.7506
ACTN1-AS1	0
ACTN2	0.058753
ACTN3	0
ACTN4	250.107
ACTR10	13.237
ACTR1A	87.6723
ACTR1B	19.5637
ACTR2	164.279
ACTR3	52.628
ACTR3B	3.36067
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	1.69113
ACTR5	6.3011
ACTR6	12.0701
ACTR8	8.87333
ACTRT1	0
ACTRT2	0
ACTRT3	0
ACVR1	6.42914
ACVR1B	4.87363
ACVR1C	0.101204
ACVR2A	1.79744
ACVR2B	0.698529
ACVR2B-AS1	0.287145
ACVRL1	0.126984
ACY1	10.1976
ACY3	0
ACYP1	46.5556
ACYP2	7.72365
ADA	4.58563
ADAD1	0
ADAD2	0.208984
ADAL	6.71389
ADAM10	37.9113
ADAM11	0.105457
ADAM12	27.8032
ADAM15	16.7183
ADAM17	18.2433
ADAM18	0
ADAM19	2.45838
ADAM1A	0.440912
ADAM2	0
ADAM20	0
