Gene symbol	RR3__2
A1BG	7.91883
A1BG-AS1	1.35315
A1CF	0
A2M	0
A2M-AS1	0.152905
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	21.7246
A4GNT	0
AA06	0
AAAS	69.2134
AACS	18.1195
AACSP1	0
AADAC	0
AADACL2	0
AADACL2-AS1	0.113204
AADACL3	0.016854
AADACL4	0
AADACP1	0.220155
AADAT	1.62875
AAED1	10.389
AAGAB	59.5953
AAK1	2.85872
AAMDC	47.0066
AAMP	103.075
AANAT	0.43
AAR2	39.9863
AARD	2.74691
AARS	225.234
AARS2	4.92695
AARSD1	39.623
AASDH	0.646059
AASDHPPT	3.99023
AASS	3.19565
AATBC	0.0697215
AATF	184.881
AATK	0.0124842
AATK-AS1	0
ABALON	56.0408
ABAT	0.279212
ABCA1	5.01047
ABCA10	0
ABCA11P	1.14388
ABCA12	0.0624314
ABCA13	0.0217885
ABCA17P	0.0614634
ABCA2	2.05214
ABCA3	9.33179
ABCA4	0.0258976
ABCA5	0.333392
ABCA6	0
ABCA7	8.76093
ABCA8	0.0111126
ABCA9	0
ABCA9-AS1	0
ABCB1	0
ABCB10	2.72925
ABCB11	0
ABCB4	0
ABCB5	0
ABCB6	22.4717
ABCB7	5.06658
ABCB8	27.5766
ABCB9	11.2512
ABCC1	13.5059
ABCC10	2.58034
ABCC11	0.0575351
ABCC12	0
ABCC13	0.0465032
ABCC2	0.17557
ABCC3	12.0008
ABCC4	7.82378
ABCC5	4.06729
ABCC5-AS1	0
ABCC6	0.585973
ABCC6P1	0.0241607
ABCC6P2	0.801356
ABCC8	0
ABCC9	1.67416
ABCD1	26.3073
ABCD2	0.0119422
ABCD3	13.5107
ABCD4	8.6786
ABCE1	12.244
ABCF1	111.78
ABCF2	34.3484
ABCF3	92.0627
ABCG1	0
ABCG2	0.492672
ABCG4	0.0336886
ABCG5	0
ABCG8	0
ABHD1	0.193148
ABHD10	10.3736
ABHD11	12.6496
ABHD11-AS1	2.81896
ABHD12	76.9686
ABHD12B	0.0471415
ABHD13	2.75553
ABHD14A	22.5064
ABHD14A-ACY1	0
ABHD14B	44.5781
ABHD15	12.9263
ABHD16A	8.2565
ABHD16B	7.48576
ABHD17A	90.2985
ABHD17B	7.62649
ABHD17C	11.7185
ABHD2	11.9303
ABHD3	3.06092
ABHD4	17.383
ABHD5	4.8254
ABHD6	4.60682
ABHD8	75.3281
ABI1	6.31105
ABI2	6.31861
ABI3	10.4014
ABI3BP	0.272631
ABL1	15.9032
ABL2	6.03905
ABLIM1	11.8538
ABLIM2	0.189061
ABLIM3	15.791
ABO	0
ABR	38.1977
ABRA	0.0477611
ABRACL	7.28303
ABT1	14.4121
ABTB1	49.8112
ABTB2	4.17486
ACAA1	69.8893
ACAA2	31.9512
ACACA	5.84484
ACACB	1.13625
ACAD10	15.1697
ACAD11	4.4957
ACAD8	5.34522
ACAD9	22.822
ACADL	0
ACADM	4.13607
ACADS	54.6908
ACADSB	1.40188
ACADVL	200.218
ACAN	0
ACAP1	8.41813
ACAP2	2.98237
ACAP3	38.5121
ACAT1	24.6526
ACAT2	8.88056
ACBD3	21.6007
ACBD4	5.87015
ACBD5	9.91274
ACBD6	41.0905
ACBD7	1.7553
ACCS	6.26213
ACCSL	0
ACD	56.7064
ACE	1.41754
ACE2	0
ACER1	0
ACER2	0.0230092
ACER3	4.74783
ACHE	0.067726
ACIN1	75.6695
ACKR1	0
ACKR2	0.0663593
ACKR3	0.351524
ACKR4	0
ACLY	67.5369
ACMSD	0
ACO1	47.055
ACO2	23.3531
ACOT1	1.97849
ACOT11	0.568241
ACOT12	0
ACOT13	1.12994
ACOT2	13.7375
ACOT4	0
ACOT6	0
ACOT7	145.639
ACOT8	96.9887
ACOT9	68.1727
ACOX1	3.07547
ACOX2	0.374918
ACOX3	16.7158
ACOXL	0
ACP1	43.2294
ACP2	103.672
ACP5	7.27697
ACP6	5.64604
ACPP	0.0372093
ACPT	0
ACR	0
ACRBP	0
ACRC	0.328861
ACRV1	0.0648008
ACSBG1	0
ACSBG2	0.0794687
ACSF2	23.0445
ACSF3	14.2769
ACSL1	5.47298
ACSL3	4.36115
ACSL4	21.7073
ACSL5	4.70939
ACSL6	0.187355
ACSM1	0
ACSM2A	0
ACSM2B	0
ACSM3	0.0881062
ACSM4	0
ACSM5	0.0548633
ACSM6	0.039952
ACSS1	0
ACSS2	30.8244
ACSS3	1.89697
ACTA1	0.0932231
ACTA2	41.1679
ACTA2-AS1	0.0658673
ACTB	4974.8
ACTBL2	0
ACTC1	0.35045
ACTG1	2016.6
ACTG1P17	0.37433
ACTG1P20	0.54693
ACTG1P4	0
ACTG2	0.106108
ACTL10	12.414
ACTL6A	19.5873
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	1.3856
ACTL9	0
ACTN1	110.221
ACTN1-AS1	0.142779
ACTN2	0.0390525
ACTN3	0.0445686
ACTN4	395.625
ACTR10	14.9143
ACTR1A	169.564
ACTR1B	18.2576
ACTR2	85.4779
ACTR3	31.6931
ACTR3B	3.53166
ACTR3BP2	0
ACTR3BP5	0.0417891
ACTR3C	0.939155
ACTR5	10.7949
ACTR6	8.55607
ACTR8	12.264
ACTRT1	0
ACTRT2	0
ACTRT3	0.134577
ACVR1	2.38231
ACVR1B	6.01431
ACVR1C	0.0750055
ACVR2A	2.25056
ACVR2B	0.915388
ACVR2B-AS1	0.0525762
ACVRL1	0.23409
ACY1	31.1124
ACY3	0
ACYP1	31.6358
ACYP2	2.34125
ADA	5.83679
ADAD1	0
ADAD2	0.163328
ADAL	6.54452
ADAM10	21.709
ADAM11	0.218843
ADAM12	31.0825
ADAM15	100.914
ADAM17	15.6193
ADAM18	0.0276774
ADAM19	3.68102
ADAM1A	0.577812
ADAM2	0
ADAM20	0.117675
ADAM20P1	0.129204
ADAM21	1.28653
ADAM21P1	0.196934
ADAM22	2.94918
ADAM23	0.611987
ADAM28	0.0695957
ADAM29	0
ADAM30	0
ADAM32	0.168926
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	3.80474
ADAM9	27.7258
ADAMDEC1	0
ADAMTS1	9.97637
ADAMTS10	0
ADAMTS12	2.46533
ADAMTS13	0.271235
ADAMTS14	0.0121262
ADAMTS15	0
ADAMTS16	0.84835
ADAMTS17	0.0200488
ADAMTS18	0.0537677
ADAMTS19	0
ADAMTS19-AS1	0
ADAMTS2	0.042238
ADAMTS20	0.344139
ADAMTS3	0.152972
ADAMTS4	1.8395
ADAMTS5	0.969588
ADAMTS6	1.60113
ADAMTS7	1.36974
ADAMTS7P1	0
ADAMTS8	0.0530184
ADAMTS9	0.0518894
ADAMTS9-AS1	0
ADAMTS9-AS2	0
ADAMTSL1	4.44211
ADAMTSL2	0.190958
ADAMTSL3	0
ADAMTSL4	0.372758
ADAMTSL4-AS1	0
ADAMTSL5	0
ADAP1	1.90862
ADAP2	0
ADAR	30.5307
ADARB1	0.737187
ADARB2	0.0523729
ADARB2-AS1	0
ADAT1	25.8255
ADAT2	0.956974
ADAT3	20.4892
ADCK1	5.4391
ADCK2	46.5918
ADCK3	14.095
ADCK4	53.2344
ADCK5	12.8223
ADCY1	0.161765
ADCY10	0.0385354
ADCY10P1	0
ADCY2	0.0193519
ADCY3	11.6882
ADCY4	0
ADCY5	0.024934
ADCY6	7.89194
ADCY7	9.85302
ADCY8	0.895218
ADCY9	2.55832
ADCYAP1	0
ADCYAP1R1	0.138168
ADD1	61.5838
ADD2	0.127844
